name,manufacturer,model,mpg,cylinders,displacement,horsepower,weight,acceleration,model_year,model_year_full,origin
amc gremlin,amc,gremlin,21.0,6,199.0,90.0,2648,15.0,70,1970,Usa
ford f250,ford,f250,10.0,8,360.0,215.0,4615,14.0,70,1970,Usa
chevy c20,chevrolet,c20,10.0,8,307.0,200.0,4376,15.0,70,1970,Usa
dodge d200,dodge,d200,11.0,8,318.0,210.0,4382,13.5,70,1970,Usa
hi 1200d,plymouth,1200d,9.0,8,304.0,193.0,4732,18.5,70,1970,Usa
datsun pl510,datsun,pl510,27.0,4,97.0,88.0,2130,14.5,71,1971,Japan
chevrolet vega 2300,chevrolet,vega 2300,28.0,4,140.0,90.0,2264,15.5,71,1971,Usa
toyota corona,toyota,corona,25.0,4,113.0,95.0,2228,14.0,71,1971,Japan
ford pinto,ford,pinto,25.0,4,98.0,93.5,2046,19.0,71,1971,Usa
amc gremlin,amc,gremlin,19.0,6,232.0,100.0,2634,13.0,71,1971,Usa
plymouth satellite custom,plymouth,satellite custom,16.0,6,225.0,105.0,3439,15.5,71,1971,Usa
chevrolet chevelle malibu,chevrolet,chevelle malibu,17.0,6,250.0,100.0,3329,15.5,71,1971,Usa
ford torino 500,ford,torino 500,19.0,6,250.0,88.0,3302,15.5,71,1971,Usa
amc matador,amc,matador,18.0,6,232.0,100.0,3288,15.5,71,1971,Usa
chevrolet impala,chevrolet,impala,14.0,8,350.0,165.0,4209,12.0,71,1971,Usa
pontiac catalina brougham,pontiac,catalina brougham,14.0,8,400.0,175.0,4464,11.5,71,1971,Usa
ford galaxie 500,ford,galaxie 500,14.0,8,351.0,153.0,4154,13.5,71,1971,Usa
plymouth fury iii,plymouth,fury iii,14.0,8,318.0,150.0,4096,13.0,71,1971,Usa
dodge monaco (sw),dodge,monaco (sw),12.0,8,383.0,180.0,4955,11.5,71,1971,Usa
ford country squire (sw),ford,country squire (sw),13.0,8,400.0,170.0,4746,12.0,71,1971,Usa
pontiac safari (sw),pontiac,safari (sw),13.0,8,400.0,175.0,5140,12.0,71,1971,Usa
amc hornet sportabout (sw),amc,hornet sportabout (sw),18.0,6,258.0,110.0,2962,13.5,71,1971,Usa
chevrolet vega (sw),chevrolet,vega (sw),22.0,4,140.0,72.0,2408,19.0,71,1971,Usa
pontiac firebird,pontiac,firebird,19.0,6,250.0,100.0,3282,15.0,71,1971,Usa
ford mustang,ford,mustang,18.0,6,250.0,88.0,3139,14.5,71,1971,Usa
mercury capri 2000,mercury,capri 2000,23.0,4,122.0,86.0,2220,14.0,71,1971,Usa
opel 1900,opel,1900,28.0,4,116.0,90.0,2123,14.0,71,1971,Europe
peugeot 304,peugeot,304,30.0,4,79.0,70.0,2074,19.5,71,1971,Europe
fiat 124b,fiat,124b,30.0,4,88.0,76.0,2065,14.5,71,1971,Europe
toyota corolla 1200,toyota,corolla 1200,31.0,4,71.0,65.0,1773,19.0,71,1971,Japan
datsun 1200,datsun,1200,35.0,4,72.0,69.0,1613,18.0,71,1971,Japan
volkswagen model 111,volkswagen,model 111,27.0,4,97.0,60.0,1834,19.0,71,1971,Europe
plymouth cricket,plymouth,cricket,26.0,4,91.0,70.0,1955,20.5,71,1971,Usa
toyota corona hardtop,toyota,corona hardtop,24.0,4,113.0,95.0,2278,15.5,72,1972,Japan
dodge colt hardtop,dodge,colt hardtop,25.0,4,97.5,80.0,2126,17.0,72,1972,Usa
volkswagen type 3,volkswagen,type 3,23.0,4,97.0,54.0,2254,23.5,72,1972,Europe
chevrolet vega,chevrolet,vega,20.0,4,140.0,90.0,2408,19.5,72,1972,Usa
ford pinto runabout,ford,pinto runabout,21.0,4,122.0,86.0,2226,16.5,72,1972,Usa
chevrolet impala,chevrolet,impala,13.0,8,350.0,165.0,4274,12.0,72,1972,Usa
pontiac catalina,pontiac,catalina,14.0,8,400.0,175.0,4385,12.0,72,1972,Usa
plymouth fury iii,plymouth,fury iii,15.0,8,318.0,150.0,4135,13.5,72,1972,Usa
ford galaxie 500,ford,galaxie 500,14.0,8,351.0,153.0,4129,13.0,72,1972,Usa
amc ambassador sst,amc,ambassador sst,17.0,8,304.0,150.0,3672,11.5,72,1972,Usa
mercury marquis,mercury,marquis,11.0,8,429.0,208.0,4633,11.0,72,1972,Usa
buick lesabre custom,buick,lesabre custom,13.0,8,350.0,155.0,4502,13.5,72,1972,Usa
oldsmobile delta 88 royale,oldsmobile,delta 88 royale,12.0,8,350.0,160.0,4456,13.5,72,1972,Usa
chrysler newport royal,chrysler,newport royal,13.0,8,400.0,190.0,4422,12.5,72,1972,Usa
mazda rx2 coupe,mazda,rx2 coupe,19.0,3,70.0,97.0,2330,13.5,72,1972,Japan
amc matador (sw),amc,matador (sw),15.0,8,304.0,150.0,3892,12.5,72,1972,Usa
chevrolet chevelle concours (sw),chevrolet,chevelle concours (sw),13.0,8,307.0,130.0,4098,14.0,72,1972,Usa
ford gran torino (sw),ford,gran torino (sw),13.0,8,302.0,140.0,4294,16.0,72,1972,Usa
plymouth satellite custom (sw),plymouth,satellite custom (sw),14.0,8,318.0,150.0,4077,14.0,72,1972,Usa
volvo 145e (sw),volvo,145e (sw),18.0,4,121.0,112.0,2933,14.5,72,1972,Europe
volkswagen 411 (sw),volkswagen,411 (sw),22.0,4,121.0,76.0,2511,18.0,72,1972,Europe
peugeot 504 (sw),peugeot,504 (sw),21.0,4,120.0,87.0,2979,19.5,72,1972,Europe
renault 12 (sw),renault,12 (sw),26.0,4,96.0,69.0,2189,18.0,72,1972,Europe
ford pinto (sw),ford,pinto (sw),22.0,4,122.0,86.0,2395,16.0,72,1972,Usa
datsun 510 (sw),datsun,510 (sw),28.0,4,97.0,92.0,2288,17.0,72,1972,Japan
toyouta corona mark ii (sw),toyota,corona mark ii (sw),23.0,4,120.0,97.0,2506,14.5,72,1972,Japan
dodge colt (sw),dodge,colt (sw),28.0,4,98.0,80.0,2164,15.0,72,1972,Usa
toyota corolla 1600 (sw),toyota,corolla 1600 (sw),27.0,4,97.0,88.0,2100,16.5,72,1972,Japan
buick century 350,buick,century 350,13.0,8,350.0,175.0,4100,13.0,73,1973,Usa
amc matador,amc,matador,14.0,8,304.0,150.0,3672,11.5,73,1973,Usa
chevrolet malibu,chevrolet,malibu,13.0,8,350.0,145.0,3988,13.0,73,1973,Usa
ford gran torino,ford,gran torino,14.0,8,302.0,137.0,4042,14.5,73,1973,Usa
dodge coronet custom,dodge,coronet custom,15.0,8,318.0,150.0,3777,12.5,73,1973,Usa
mercury marquis brougham,mercury,marquis brougham,12.0,8,429.0,198.0,4952,11.5,73,1973,Usa
chevrolet caprice classic,chevrolet,caprice classic,13.0,8,400.0,150.0,4464,12.0,73,1973,Usa
ford ltd,ford,ltd,13.0,8,351.0,158.0,4363,13.0,73,1973,Usa
plymouth fury gran sedan,plymouth,fury gran sedan,14.0,8,318.0,150.0,4237,14.5,73,1973,Usa
chrysler new yorker brougham,chrysler,new yorker brougham,13.0,8,440.0,215.0,4735,11.0,73,1973,Usa
buick electra 225 custom,buick,electra 225 custom,12.0,8,455.0,225.0,4951,11.0,73,1973,Usa
amc ambassador brougham,amc,ambassador brougham,13.0,8,360.0,175.0,3821,11.0,73,1973,Usa
plymouth valiant,plymouth,valiant,18.0,6,225.0,105.0,3121,16.5,73,1973,Usa
chevrolet nova custom,chevrolet,nova custom,16.0,6,250.0,100.0,3278,18.0,73,1973,Usa
amc hornet,amc,hornet,18.0,6,232.0,100.0,2945,16.0,73,1973,Usa
ford maverick,ford,maverick,18.0,6,250.0,88.0,3021,16.5,73,1973,Usa
plymouth duster,plymouth,duster,23.0,6,198.0,95.0,2904,16.0,73,1973,Usa
volkswagen super beetle,volkswagen,super beetle,26.0,4,97.0,46.0,1950,21.0,73,1973,Europe
chevrolet impala,chevrolet,impala,11.0,8,400.0,150.0,4997,14.0,73,1973,Usa
ford country,ford,country,12.0,8,400.0,167.0,4906,12.5,73,1973,Usa
plymouth custom suburb,plymouth,custom suburb,13.0,8,360.0,170.0,4654,13.0,73,1973,Usa
oldsmobile vista cruiser,oldsmobile,vista cruiser,12.0,8,350.0,180.0,4499,12.5,73,1973,Usa
amc gremlin,amc,gremlin,18.0,6,232.0,100.0,2789,15.0,73,1973,Usa
toyota carina,toyota,carina,20.0,4,97.0,88.0,2279,19.0,73,1973,Japan
chevrolet vega,chevrolet,vega,21.0,4,140.0,72.0,2401,19.5,73,1973,Usa
datsun 610,datsun,610,22.0,4,108.0,94.0,2379,16.5,73,1973,Japan
maxda rx3,mazda,rx3,18.0,3,70.0,90.0,2124,13.5,73,1973,Japan
ford pinto,ford,pinto,19.0,4,122.0,85.0,2310,18.5,73,1973,Usa
mercury capri v6,mercury,capri v6,21.0,6,155.0,107.0,2472,14.0,73,1973,Usa
fiat 124 sport coupe,fiat,124 sport coupe,26.0,4,98.0,90.0,2265,15.5,73,1973,Europe
chevrolet monte carlo s,chevrolet,monte carlo s,15.0,8,350.0,145.0,4082,13.0,73,1973,Usa
pontiac grand prix,pontiac,grand prix,16.0,8,400.0,230.0,4278,9.5,73,1973,Usa
fiat 128,fiat,128,29.0,4,68.0,49.0,1867,19.5,73,1973,Europe
opel manta,opel,manta,24.0,4,116.0,75.0,2158,15.5,73,1973,Europe
audi 100ls,audi,100ls,20.0,4,114.0,91.0,2582,14.0,73,1973,Europe
volvo 144ea,volvo,144ea,19.0,4,121.0,112.0,2868,15.5,73,1973,Europe
dodge dart custom,dodge,dart custom,15.0,8,318.0,150.0,3399,11.0,73,1973,Usa
saab 99le,saab,99le,24.0,4,121.0,110.0,2660,14.0,73,1973,Europe
toyota mark ii,toyota,mark ii,20.0,6,156.0,122.0,2807,13.5,73,1973,Japan
oldsmobile omega,oldsmobile,omega,11.0,8,350.0,180.0,3664,11.0,73,1973,Usa
plymouth duster,plymouth,duster,20.0,6,198.0,95.0,3102,16.5,74,1974,Usa
ford maverick,ford,maverick,21.0,6,200.0,93.5,2875,17.0,74,1974,Usa
amc hornet,amc,hornet,19.0,6,232.0,100.0,2901,16.0,74,1974,Usa
chevrolet nova,chevrolet,nova,15.0,6,250.0,100.0,3336,17.0,74,1974,Usa
datsun b210,datsun,b210,31.0,4,79.0,67.0,1950,19.0,74,1974,Japan
ford pinto,ford,pinto,26.0,4,122.0,80.0,2451,16.5,74,1974,Usa
toyota corolla 1200,toyota,corolla 1200,32.0,4,71.0,65.0,1836,21.0,74,1974,Japan
chevrolet vega,chevrolet,vega,25.0,4,140.0,75.0,2542,17.0,74,1974,Usa
chevrolet chevelle malibu classic,chevrolet,chevelle malibu classic,16.0,6,250.0,100.0,3781,17.0,74,1974,Usa
amc matador,amc,matador,16.0,6,258.0,110.0,3632,18.0,74,1974,Usa
plymouth satellite sebring,plymouth,satellite sebring,18.0,6,225.0,105.0,3613,16.5,74,1974,Usa
ford gran torino,ford,gran torino,16.0,8,302.0,140.0,4141,14.0,74,1974,Usa
buick century luxus (sw),buick,century luxus (sw),13.0,8,350.0,150.0,4699,14.5,74,1974,Usa
dodge coronet custom (sw),dodge,coronet custom (sw),14.0,8,318.0,150.0,4457,13.5,74,1974,Usa
ford gran torino (sw),ford,gran torino (sw),14.0,8,302.0,140.0,4638,16.0,74,1974,Usa
amc matador (sw),amc,matador (sw),14.0,8,304.0,150.0,4257,15.5,74,1974,Usa
audi fox,audi,fox,29.0,4,98.0,83.0,2219,16.5,74,1974,Europe
volkswagen dasher,volkswagen,dasher,26.0,4,79.0,67.0,1963,15.5,74,1974,Europe
opel manta,opel,manta,26.0,4,97.0,78.0,2300,14.5,74,1974,Europe
toyota corona,toyota,corona,31.0,4,76.0,52.0,1649,16.5,74,1974,Japan
datsun 710,datsun,710,32.0,4,83.0,61.0,2003,19.0,74,1974,Japan
dodge colt,dodge,colt,28.0,4,90.0,75.0,2125,14.5,74,1974,Usa
fiat 128,fiat,128,24.0,4,90.0,75.0,2108,15.5,74,1974,Europe
fiat 124 tc,fiat,124 tc,26.0,4,116.0,75.0,2246,14.0,74,1974,Europe
honda civic,honda,civic,24.0,4,120.0,97.0,2489,15.0,74,1974,Japan
subaru,subaru,,26.0,4,108.0,93.0,2391,15.5,74,1974,Japan
fiat x1.9,fiat,x1.9,31.0,4,79.0,67.0,2000,16.0,74,1974,Europe
plymouth valiant custom,plymouth,valiant custom,19.0,6,225.0,95.0,3264,16.0,75,1975,Usa
chevrolet nova,chevrolet,nova,18.0,6,250.0,105.0,3459,16.0,75,1975,Usa
mercury monarch,mercury,monarch,15.0,6,250.0,72.0,3432,21.0,75,1975,Usa
ford maverick,ford,maverick,15.0,6,250.0,72.0,3158,19.5,75,1975,Usa
pontiac catalina,pontiac,catalina,16.0,8,400.0,170.0,4668,11.5,75,1975,Usa
chevrolet bel air,chevrolet,bel air,15.0,8,350.0,145.0,4440,14.0,75,1975,Usa
plymouth grand fury,plymouth,grand fury,16.0,8,318.0,150.0,4498,14.5,75,1975,Usa
ford ltd,ford,ltd,14.0,8,351.0,148.0,4657,13.5,75,1975,Usa
buick century,buick,century,17.0,6,231.0,110.0,3907,21.0,75,1975,Usa
chevroelt chevelle malibu,chevrolet,chevelle malibu,16.0,6,250.0,105.0,3897,18.5,75,1975,Usa
amc matador,amc,matador,15.0,6,258.0,110.0,3730,19.0,75,1975,Usa
plymouth fury,plymouth,fury,18.0,6,225.0,95.0,3785,19.0,75,1975,Usa
buick skyhawk,buick,skyhawk,21.0,6,231.0,110.0,3039,15.0,75,1975,Usa
chevrolet monza 2+2,chevrolet,monza 2+2,20.0,8,262.0,110.0,3221,13.5,75,1975,Usa
ford mustang ii,ford,mustang ii,13.0,8,302.0,129.0,3169,12.0,75,1975,Usa
toyota corolla,toyota,corolla,29.0,4,97.0,75.0,2171,16.0,75,1975,Japan
ford pinto,ford,pinto,23.0,4,140.0,83.0,2639,17.0,75,1975,Usa
amc gremlin,amc,gremlin,20.0,6,232.0,100.0,2914,16.0,75,1975,Usa
pontiac astro,pontiac,astro,23.0,4,140.0,78.0,2592,18.5,75,1975,Usa
toyota corona,toyota,corona,24.0,4,134.0,96.0,2702,13.5,75,1975,Japan
volkswagen dasher,volkswagen,dasher,25.0,4,90.0,71.0,2223,16.5,75,1975,Europe
datsun 710,datsun,710,24.0,4,119.0,97.0,2545,17.0,75,1975,Japan
ford pinto,ford,pinto,18.0,6,171.0,97.0,2984,14.5,75,1975,Usa
volkswagen rabbit,volkswagen,rabbit,29.0,4,90.0,70.0,1937,14.0,75,1975,Europe
amc pacer,amc,pacer,19.0,6,232.0,90.0,3211,17.0,75,1975,Usa
audi 100ls,audi,100ls,23.0,4,115.0,95.0,2694,15.0,75,1975,Europe
peugeot 504,peugeot,504,23.0,4,120.0,88.0,2957,17.0,75,1975,Europe
volvo 244dl,volvo,244dl,22.0,4,121.0,98.0,2945,14.5,75,1975,Europe
saab 99le,saab,99le,25.0,4,121.0,115.0,2671,13.5,75,1975,Europe
honda civic cvcc,honda,civic cvcc,33.0,4,91.0,53.0,1795,17.5,75,1975,Japan
fiat 131,fiat,131,28.0,4,107.0,86.0,2464,15.5,76,1976,Europe
opel 1900,opel,1900,25.0,4,116.0,81.0,2220,16.9,76,1976,Europe
capri ii,ford,ii,25.0,4,140.0,92.0,2572,14.9,76,1976,Usa
dodge colt,dodge,colt,26.0,4,98.0,79.0,2255,17.7,76,1976,Usa
renault 12tl,renault,12tl,27.0,4,101.0,83.0,2202,15.3,76,1976,Europe
chevrolet chevelle malibu classic,chevrolet,chevelle malibu classic,17.5,8,305.0,140.0,4215,13.0,76,1976,Usa
dodge coronet brougham,dodge,coronet brougham,16.0,8,318.0,150.0,4190,13.0,76,1976,Usa
amc matador,amc,matador,15.5,8,304.0,120.0,3962,13.9,76,1976,Usa
ford gran torino,ford,gran torino,14.5,8,351.0,152.0,4215,12.8,76,1976,Usa
plymouth valiant,plymouth,valiant,22.0,6,225.0,100.0,3233,15.4,76,1976,Usa
chevrolet nova,chevrolet,nova,22.0,6,250.0,105.0,3353,14.5,76,1976,Usa
ford maverick,ford,maverick,24.0,6,200.0,81.0,3012,17.6,76,1976,Usa
amc hornet,amc,hornet,22.5,6,232.0,90.0,3085,17.6,76,1976,Usa
chevrolet chevette,chevrolet,chevette,29.0,4,85.0,52.0,2035,22.2,76,1976,Usa
chevrolet woody,chevrolet,woody,24.5,4,98.0,60.0,2164,22.1,76,1976,Usa
vw rabbit,volkswagen,rabbit,29.0,4,90.0,70.0,1937,14.2,76,1976,Europe
honda civic,honda,civic,33.0,4,91.0,53.0,1795,17.4,76,1976,Japan
dodge aspen se,dodge,aspen se,20.0,6,225.0,100.0,3651,17.7,76,1976,Usa
ford granada ghia,ford,granada ghia,18.0,6,250.0,78.0,3574,21.0,76,1976,Usa
pontiac ventura sj,pontiac,ventura sj,18.5,6,250.0,110.0,3645,16.2,76,1976,Usa
amc pacer d/l,amc,pacer d/l,17.5,6,258.0,95.0,3193,17.8,76,1976,Usa
volkswagen rabbit,volkswagen,rabbit,29.5,4,97.0,71.0,1825,12.2,76,1976,Europe
datsun b-210,datsun,b-210,32.0,4,85.0,70.0,1990,17.0,76,1976,Japan
toyota corolla,toyota,corolla,28.0,4,97.0,75.0,2155,16.4,76,1976,Japan
ford pinto,ford,pinto,26.5,4,140.0,72.0,2565,13.6,76,1976,Usa
volvo 245,volvo,245,20.0,4,130.0,102.0,3150,15.7,76,1976,Europe
plymouth volare premier v8,plymouth,volare premier v8,13.0,8,318.0,150.0,3940,13.2,76,1976,Usa
peugeot 504,peugeot,504,19.0,4,120.0,88.0,3270,21.9,76,1976,Europe
toyota mark ii,toyota,mark ii,19.0,6,156.0,108.0,2930,15.5,76,1976,Japan
mercedes-benz 280s,mercedes-benz,280s,16.5,6,168.0,120.0,3820,16.7,76,1976,Europe
cadillac seville,cadillac,seville,16.5,8,350.0,180.0,4380,12.1,76,1976,Usa
chevy c10,chevrolet,c10,13.0,8,350.0,145.0,4055,12.0,76,1976,Usa
ford f108,ford,f108,13.0,8,302.0,130.0,3870,15.0,76,1976,Usa
dodge d100,dodge,d100,13.0,8,318.0,150.0,3755,14.0,76,1976,Usa
honda accord cvcc,honda,accord cvcc,31.5,4,98.0,68.0,2045,18.5,77,1977,Japan
buick opel isuzu deluxe,buick,opel isuzu deluxe,30.0,4,111.0,80.0,2155,14.8,77,1977,Usa
renault 5 gtl,renault,5 gtl,36.0,4,79.0,58.0,1825,18.6,77,1977,Europe
plymouth arrow gs,plymouth,arrow gs,25.5,4,122.0,96.0,2300,15.5,77,1977,Usa
datsun f-10 hatchback,datsun,f-10 hatchback,33.5,4,85.0,70.0,1945,16.8,77,1977,Japan
chevrolet caprice classic,chevrolet,caprice classic,17.5,8,305.0,145.0,3880,12.5,77,1977,Usa
oldsmobile cutlass supreme,oldsmobile,cutlass supreme,17.0,8,260.0,110.0,4060,19.0,77,1977,Usa
dodge monaco brougham,dodge,monaco brougham,15.5,8,318.0,145.0,4140,13.7,77,1977,Usa
mercury cougar brougham,mercury,cougar brougham,15.0,8,302.0,130.0,4295,14.9,77,1977,Usa
chevrolet concours,chevrolet,concours,17.5,6,250.0,110.0,3520,16.4,77,1977,Usa
buick skylark,buick,skylark,20.5,6,231.0,105.0,3425,16.9,77,1977,Usa
plymouth volare custom,plymouth,volare custom,19.0,6,225.0,100.0,3630,17.7,77,1977,Usa
ford granada,ford,granada,18.5,6,250.0,98.0,3525,19.0,77,1977,Usa
pontiac grand prix lj,pontiac,grand prix lj,16.0,8,400.0,180.0,4220,11.1,77,1977,Usa
chevrolet monte carlo landau,chevrolet,monte carlo landau,15.5,8,350.0,170.0,4165,11.4,77,1977,Usa
chrysler cordoba,chrysler,cordoba,15.5,8,400.0,190.0,4325,12.2,77,1977,Usa
ford thunderbird,ford,thunderbird,16.0,8,351.0,149.0,4335,14.5,77,1977,Usa
volkswagen rabbit custom,volkswagen,rabbit custom,29.0,4,97.0,78.0,1940,14.5,77,1977,Europe
pontiac sunbird coupe,pontiac,sunbird coupe,24.5,4,151.0,88.0,2740,16.0,77,1977,Usa
toyota corolla liftback,toyota,corolla liftback,26.0,4,97.0,75.0,2265,18.2,77,1977,Japan
ford mustang ii 2+2,ford,mustang ii 2+2,25.5,4,140.0,89.0,2755,15.8,77,1977,Usa
chevrolet chevette,chevrolet,chevette,30.5,4,98.0,63.0,2051,17.0,77,1977,Usa
dodge colt m/m,dodge,colt m/m,33.5,4,98.0,83.0,2075,15.9,77,1977,Usa
subaru dl,subaru,dl,30.0,4,97.0,67.0,1985,16.4,77,1977,Japan
volkswagen dasher,volkswagen,dasher,30.5,4,97.0,78.0,2190,14.1,77,1977,Europe
datsun 810,datsun,810,22.0,6,146.0,97.0,2815,14.5,77,1977,Japan
bmw 320i,bmw,320i,21.5,4,121.0,110.0,2600,12.8,77,1977,Europe
mazda rx-4,mazda,rx-4,21.5,3,80.0,110.0,2720,13.5,77,1977,Japan
volkswagen rabbit custom diesel,volkswagen,rabbit custom diesel,43.1,4,90.0,48.0,1985,21.5,78,1978,Europe
ford fiesta,ford,fiesta,36.1,4,98.0,66.0,1800,14.4,78,1978,Usa
mazda glc deluxe,mazda,glc deluxe,32.8,4,78.0,52.0,1985,19.4,78,1978,Japan
datsun b210 gx,datsun,b210 gx,39.4,4,85.0,70.0,2070,18.6,78,1978,Japan
honda civic cvcc,honda,civic cvcc,36.1,4,91.0,60.0,1800,16.4,78,1978,Japan
oldsmobile cutlass salon brougham,oldsmobile,cutlass salon brougham,19.9,8,260.0,110.0,3365,15.5,78,1978,Usa
dodge diplomat,dodge,diplomat,19.4,8,318.0,140.0,3735,13.2,78,1978,Usa
mercury monarch ghia,mercury,monarch ghia,20.2,8,302.0,139.0,3570,12.8,78,1978,Usa
pontiac phoenix lj,pontiac,phoenix lj,19.2,6,231.0,105.0,3535,19.2,78,1978,Usa
chevrolet malibu,chevrolet,malibu,20.5,6,200.0,95.0,3155,18.2,78,1978,Usa
ford fairmont (auto),ford,fairmont (auto),20.2,6,200.0,85.0,2965,15.8,78,1978,Usa
ford fairmont (man),ford,fairmont (man),25.1,4,140.0,88.0,2720,15.4,78,1978,Usa
plymouth volare,plymouth,volare,20.5,6,225.0,100.0,3430,17.2,78,1978,Usa
amc concord,amc,concord,19.4,6,232.0,90.0,3210,17.2,78,1978,Usa
buick century special,buick,century special,20.6,6,231.0,105.0,3380,15.8,78,1978,Usa
mercury zephyr,mercury,zephyr,20.8,6,200.0,85.0,3070,16.7,78,1978,Usa
dodge aspen,dodge,aspen,18.6,6,225.0,110.0,3620,18.7,78,1978,Usa
amc concord d/l,amc,concord d/l,18.1,6,258.0,120.0,3410,15.1,78,1978,Usa
chevrolet monte carlo landau,chevrolet,monte carlo landau,19.2,8,305.0,145.0,3425,13.2,78,1978,Usa
buick regal sport coupe (turbo),buick,regal sport coupe (turbo),17.7,6,231.0,165.0,3445,13.4,78,1978,Usa
ford futura,ford,futura,18.1,8,302.0,139.0,3205,11.2,78,1978,Usa
dodge magnum xe,dodge,magnum xe,17.5,8,318.0,140.0,4080,13.7,78,1978,Usa
chevrolet chevette,chevrolet,chevette,30.0,4,98.0,68.0,2155,16.5,78,1978,Usa
toyota corona,toyota,corona,27.5,4,134.0,95.0,2560,14.2,78,1978,Japan
datsun 510,datsun,510,27.2,4,119.0,97.0,2300,14.7,78,1978,Japan
dodge omni,dodge,omni,30.9,4,105.0,75.0,2230,14.5,78,1978,Usa
toyota celica gt liftback,toyota,celica gt liftback,21.1,4,134.0,95.0,2515,14.8,78,1978,Japan
plymouth sapporo,plymouth,sapporo,23.2,4,156.0,105.0,2745,16.7,78,1978,Usa
oldsmobile starfire sx,oldsmobile,starfire sx,23.8,4,151.0,85.0,2855,17.6,78,1978,Usa
datsun 200-sx,datsun,200-sx,23.9,4,119.0,97.0,2405,14.9,78,1978,Japan
audi 5000,audi,5000,20.3,5,131.0,103.0,2830,15.9,78,1978,Europe
volvo 264gl,volvo,264gl,17.0,6,163.0,125.0,3140,13.6,78,1978,Europe
saab 99gle,saab,99gle,21.6,4,121.0,115.0,2795,15.7,78,1978,Europe
peugeot 604sl,peugeot,604sl,16.2,6,163.0,133.0,3410,15.8,78,1978,Europe
volkswagen scirocco,volkswagen,scirocco,31.5,4,89.0,71.0,1990,14.9,78,1978,Europe
honda accord lx,honda,accord lx,29.5,4,98.0,68.0,2135,16.6,78,1978,Japan
pontiac lemans v6,pontiac,lemans v6,21.5,6,231.0,115.0,3245,15.4,79,1979,Usa
mercury zephyr 6,mercury,zephyr 6,19.8,6,200.0,85.0,2990,18.2,79,1979,Usa
ford fairmont 4,ford,fairmont 4,22.3,4,140.0,88.0,2890,17.3,79,1979,Usa
amc concord dl 6,amc,concord dl 6,20.2,6,232.0,90.0,3265,18.2,79,1979,Usa
dodge aspen 6,dodge,aspen 6,20.6,6,225.0,110.0,3360,16.6,79,1979,Usa
chevrolet caprice classic,chevrolet,caprice classic,17.0,8,305.0,130.0,3840,15.4,79,1979,Usa
ford ltd landau,ford,ltd landau,17.6,8,302.0,129.0,3725,13.4,79,1979,Usa
mercury grand marquis,mercury,grand marquis,16.5,8,351.0,138.0,3955,13.2,79,1979,Usa
dodge st. regis,dodge,st. regis,18.2,8,318.0,135.0,3830,15.2,79,1979,Usa
buick estate wagon (sw),buick,estate wagon (sw),16.9,8,350.0,155.0,4360,14.9,79,1979,Usa
